"時点","地域コード","地域","漁獲量【トン】","注記"
"2015年","12000","千葉県","111783",""
"2016年","12000","千葉県","115045",""
"2017年","12000","千葉県","120071",""
"2018年","12000","千葉県","134098",""
"2019年","12000","千葉県","111428",""
"2020年","12000","千葉県","99952",""
"2021年","12000","千葉県","105531",""
"1975年","13000","東京都","1375946",""
"1976年","13000","東京都","1356158",""
"1977年","13000","東京都","1228390",""
"1978年","13000","東京都","1094123",""
"1979年","13000","東京都","1059971",""
"1980年","13000","東京都","1076480",""
"1981年","13000","東京都","1061939",""
"1982年","13000","東京都","1030218",""
"1983年","13000","東京都","965005",""
"1984年","13000","東京都","935132",""
"1985年","13000","東京都","890367",""
"1986年","13000","東京都","844837",""
"1987年","13000","東京都","672108",""
"1988年","13000","東京都","634707",""
"1989年","13000","東京都","493923",""
"1990年","13000","東京都","332754",""
"1991年","13000","東京都","215057",""
"1992年","13000","東京都","189030",""
"1993年","13000","東京都","118751",""
"1994年","13000","東京都","195309",""
"1995年","13000","東京都","168327",""
"1996年","13000","東京都","155978",""
"1997年","13000","東京都","156535",""
"1998年","13000","東京都","137549",""
"1999年","13000","東京都","129757",""
"2000年","13000","東京都","137268",""
"2001年","13000","東京都","136812",""
"2002年","13000","東京都","132610",""
"2003年","13000","東京都","140617",""
"2004年","13000","東京都","83806",""
"2005年","13000","東京都","73210",""
"2006年","13000","東京都","87524",""
"2007年","13000","東京都","84321",""
"2008年","13000","東京都","105216",""
"2009年","13000","東京都","96822",""
"2010年","13000","東京都","110547",""
"2011年","13000","東京都","100349",""
"2012年","13000","東京都","85083",""
"2013年","13000","東京都","49633",""
"2014年","13000","東京都","47549",""
"2015年","13000","東京都","45217",""
"2016年","13000","東京都","48947",""
"2017年","13000","東京都","40939",""
"2018年","13000","東京都","47153",""
"2019年","13000","東京都","52529",""
"2020年","13000","東京都","45596",""
"2021年","13000","東京都","29046",""
"1975年","14000","神奈川県","131485",""
"1976年","14000","神奈川県","101072",""
"1977年","14000","神奈川県","102370",""
"1978年","14000","神奈川県","97293",""
"1979年","14000","神奈川県","96966",""
"1980年","14000","神奈川県","100656",""
"1981年","14000","神奈川県","96124",""
"1982年","14000","神奈川県","90825",""
"1983年","14000","神奈川県","88595",""
"1984年","14000","神奈川県","95053",""
"1985年","14000","神奈川県","92461",""
"1986年","14000","神奈川県","94326",""
"1987年","14000","神奈川県","98373",""
"1988年","14000","神奈川県","95300",""
"1989年","14000","神奈川県","93216",""
"1990年","14000","神奈川県","74693",""
"1991年","14000","神奈川県","71425",""
"1992年","14000","神奈川県","74701",""
"1993年","14000","神奈川県","79708",""
"1994年","14000","神奈川県","76898",""
"1995年","14000","神奈川県","67017",""
"1996年","14000","神奈川県","67918",""
"1997年","14000","神奈川県","78977",""
"1998年","14000","神奈川県","68389",""
"1999年","14000","神奈川県","79186",""
"2000年","14000","神奈川県","85094",""
"2001年","14000","神奈川県","69512",""
"2002年","14000","神奈川県","56562",""
"2003年","14000","神奈川県","51123",""
"2004年","14000","神奈川県","55865",""
"2005年","14000","神奈川県","77024",""
"2006年","14000","神奈川県","59359",""
"2007年","14000","神奈川県","55072",""
"2008年","14000","神奈川県","55571",""
"2009年","14000","神奈川県","54440",""
"2010年","14000","神奈川県","61526",""
"2011年","14000","神奈川県","52687",""
"2012年","14000","神奈川県","46460",""
"2013年","14000","神奈川県","41468",""
"2014年","14000","神奈川県","40003",""
"2015年","14000","神奈川県","43885",""
"2016年","14000","神奈川県","34953",""
"2017年","14000","神奈川県","32804",""
"2018年","14000","神奈川県","33001",""
"2019年","14000","神奈川県","34172",""
"2020年","14000","神奈川県","30944",""
"2021年","14000","神奈川県","25101",""
"1975年","15000","新潟県","83186",""
"1976年","15000","新潟県","82358",""
"1977年","15000","新潟県","80418",""
"1978年","15000","新潟県","96323",""
"1979年","15000","新潟県","122627",""
"1980年","15000","新潟県","124616",""
"1981年","15000","新潟県","120241",""
"1982年","15000","新潟県","136360",""
"1983年","15000","新潟県","146219",""
"1984年","15000","新潟県","160317",""
"1985年","15000","新潟県","144475",""
"1986年","15000","新潟県","159685",""
"1987年","15000","新潟県","163649",""
"1988年","15000","新潟県","167181",""
"1989年","15000","新潟県","151788",""
"1990年","15000","新潟県","212030",""
"1991年","15000","新潟県","175190",""
"1992年","15000","新潟県","128496",""
"1993年","15000","新潟県","106745",""
"1994年","15000","新潟県","97033",""
"1995年","15000","新潟県","65308",""
"1996年","15000","新潟県","67145",""
"1997年","15000","新潟県","58595",""
"1998年","15000","新潟県","62615",""
"1999年","15000","新潟県","60136",""
"2000年","15000","新潟県","47925",""
"2001年","15000","新潟県","44612",""
"2002年","15000","新潟県","39813",""
"2003年","15000","新潟県","39037",""
"2004年","15000","新潟県","39699",""
"2005年","15000","新潟県","39057",""
"2006年","15000","新潟県","39270",""
"2007年","15000","新潟県","37755",""
"2008年","15000","新潟県","34738",""
"2009年","15000","新潟県","36453",""
"2010年","15000","新潟県","33528",""
"2011年","15000","新潟県","31105",""
"2012年","15000","新潟県","32943",""
"2013年","15000","新潟県","30368",""
"2014年","15000","新潟県","32277",""
"2015年","15000","新潟県","34478",""
"2016年","15000","新潟県","30388",""
"2017年","15000","新潟県","30602",""
"2018年","15000","新潟県","29725",""
"2019年","15000","新潟県","29199",""
"2020年","15000","新潟県","27090",""
"2021年","15000","新潟県","24024",""
"1975年","16000","富山県","42886",""
"1976年","16000","富山県","44269",""
"1977年","16000","富山県","44503",""
"1978年","16000","富山県","47855",""
